# id	M200c	r200c	M500c	r500c	x	y	z
257	121995635195904.0	1045.79443359375	65234534400000.0	625.4210815429688	204821.5	106180.75	195596.140625
258	114313599647744.0	1023.3741455078125	84148014284800.0	680.8029174804688	15856.35546875	7235.955566406	154586.359375
259	112847262580736.0	1018.9837646484375	78904043765760.0	666.3630981445312	115290.6796875	131397.375	179702.140625
260	66928957718528.0	856.0995483398438	43681209909248.0	547.1465454101562	153283.953125	30226.03515625	40314.8984375
261	103206847774720.0	989.0700073242188	67011702947840.0	631.0511474609375	183379.203125	114447.4765625	203038.953125
262	116867452633088.0	1030.884765625	87267972481024.0	689.133056640625	137931.09375	159215.84375	185441.984375
263	103605214380032.0	990.3507690429688	63373165199360.0	619.3933715820312	21738.171875	108490.0703125	137779.828125
265	116946104221696.0	1031.159912109375	84552588460032.0	681.90087890625	179707.984375	133204.84375	51946.06640625
266	86725086937088.0	933.3184814453125	57508664180736.0	599.6818237304688	174887.71875	110286.5	22983.927734375
267	101806864596992.0	984.5611572265625	67435537367040.0	632.3836669921875	186087.078125	109840.5859375	190187.734375
268	101358334115840.0	983.1111450195312	59680780976128.0	607.1502685546875	87985.7109375	202369.078125	47219.18359375
270	111056974249984.0	1013.5574340820312	57213502619648.0	598.6419067382812	142997.640625	25999.203125	123494.8203125
